Kernel Size,Pooling Type,Optimizer,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score
5,avg,RMSprop,50,1.758421005716749,0.3723,1.96044528839436,0.29456666666666664,0.31241059249186837,0.29404145938974224,0.2740279276069698
5,avg,RMSprop,100,1.8620771443008617,0.33675,1.9453436293500534,0.2858,0.345034761017725,0.28702986676392916,0.25679154129815457
5,avg,RMSprop,250,1.8112645870561053,0.35005,2.3089502892595655,0.2780666666666667,0.2954183428092474,0.27788314283493826,0.25244960066721783
5,avg,RMSprop,350,1.9682369133469406,0.28095,2.337891688245408,0.14213333333333333,0.18997525427912693,0.14157248423652555,0.09467507007981701
5,avg,Adam,5,1.1820521024382038,0.5771,1.1965668444937847,0.5752333333333334,0.5834402862692334,0.5751018595462299,0.5706488262630907
5,avg,Adam,50,0.675390949484649,0.75905,1.017633959587584,0.6594,0.6614115584700979,0.6592185567319375,0.6583362470099885
5,avg,Adam,100,0.6714091367402654,0.76275,1.0129944968730846,0.6575,0.6550307368508039,0.6571817599012502,0.6539265648702418
5,avg,Adam,250,0.8245783155890787,0.7062,1.0601385961187646,0.6384666666666666,0.6418892156174649,0.6382427945249607,0.6363307210617275
5,avg,Adam,350,0.64167046698795,0.7732,1.0543557813827027,0.6526666666666666,0.6520811891918595,0.6525929272484949,0.6462436783009685
7,max,SGD,5,1.3477376836120702,0.51765,1.3765051476498869,0.5038666666666667,0.5225850640290641,0.5035550332181296,0.4968739035432769
7,max,SGD,50,0.7763338730593395,0.7215,1.0051518412346536,0.6617,0.6651652617664731,0.6612046711191727,0.6593498615959643
7,max,SGD,100,0.7449188148899443,0.73025,0.9903561931975344,0.6609,0.6681729586127156,0.6608514404770836,0.6624645492763503
7,max,SGD,250,0.9343146761511542,0.6698,1.0985794830829538,0.617,0.6360221630440137,0.6171062782567835,0.6132753994435709
7,max,SGD,350,0.7334452237293219,0.74185,0.9807619348485419,0.6701666666666667,0.6690920666836633,0.670055450758977,0.6668801067827739
7,max,RMSprop,5,2.1694299331895865,0.1852,2.09422644199209,0.22893333333333332,0.23948158422740548,0.22781184869314072,0.17588818235856007
7,max,RMSprop,50,2.852917204996583,0.19765,2.144239806621633,0.18043333333333333,0.2664568782502731,0.18055280531755116,0.14763317210742033
7,max,RMSprop,100,1.9304558676519212,0.301,2.0613759958997684,0.2544666666666667,0.27386674326043975,0.25479708343547414,0.24071050087385543
7,max,RMSprop,250,2.156794355173779,0.1973,2.2612470789158596,0.16223333333333334,0.15284223326660198,0.1622585993401056,0.1299210299857097
7,max,RMSprop,350,2.090743004136784,0.22815,2.4756389151228233,0.17286666666666667,0.24726420739182092,0.17361690237047206,0.13444925774097416
7,max,Adam,5,1.2040963973968652,0.5672,1.2259539208513626,0.5601333333333334,0.5713603183862623,0.5596691135277629,0.5598146848694203
7,max,Adam,50,0.825031157132167,0.70755,1.0785164825459743,0.6350666666666667,0.6351642560691844,0.6348349843725606,0.6341856650302701
7,max,Adam,100,0.975459403293148,0.64975,1.1651944355761752,0.5991333333333333,0.5978235937532566,0.5985761609884929,0.5933341094955282
7,max,Adam,250,1.2901236866689791,0.5395,1.3655554720695982,0.5136,0.5256339032125981,0.5132700824204223,0.5107444216336021
7,max,Adam,350,0.8476003640016933,0.6995,1.1093273233860097,0.6336666666666667,0.6407198207196568,0.6336803320349623,0.6336312357421218
